,City,Country,Cloudiness (%),Date,Humidity (%),Lat,Lng,Max Temp (F),Wind Speed (mph)
0,barra,br,64,1555043327,82,-11.09,-43.14,76.3,5.39
1,barrow,us,0,1555043327,87,-38.31,-60.23,45.43,3.38
2,itapage,br,36,1555043154,97,-3.69,-39.59,73.78,1.25
3,ushuaia,ar,20,1555041600,52,-54.81,-68.31,44.6,12.75
4,auki,sb,24,1555043329,60,12.18,6.51,78.19,10.2
5,taitung,tw,75,1555041600,69,22.76,121.15,75.2,6.93
6,cockburn harbour,tc,,,,,,,
7,tarakan,id,75,1555038000,83,3.3,117.63,82.4,3.36
8,sao gabriel da cachoeira,br,0,1555043331,90,-0.13,-67.09,77.65,2.37
9,thompson,ca,5,1555038000,65,55.74,-97.86,32,3.36
10,byron bay,au,75,1555043137,88,-28.65,153.62,69.13,8.05
11,tuktoyaktuk,ca,90,1555038000,85,69.44,-133.03,12.2,20.8
12,hermanus,za,0,1555042611,97,-34.42,19.24,61.45,1.36
13,nizhneyansk,ru,,,,,,,
14,puerto maldonado,pe,24,1555043334,65,-12.59,-69.19,80.71,3.15
15,rikitea,pf,80,1555043334,100,-23.12,-134.97,76.57,24.85
16,roma,au,75,1555042712,87,41.89,12.48,46.42,1.12
17,castro,cl,12,1555038000,100,-42.48,-73.76,42.8,2.24
18,new norfolk,au,0,1555043295,30,-42.78,147.06,69.21,11.41
19,bambous virieux,mu,40,1555042742,74,-20.34,57.76,81,8.05
20,vespasiano,br,0,1555041600,82,-19.69,-43.92,68.92,6.93
21,tumannyy,ru,,,,,,,
22,ribeira grande,pt,92,1555043338,92,38.52,-28.7,64.06,24.96
23,busselton,au,0,1555043293,32,-33.64,115.35,71.92,11.77
24,codrington,ag,75,1555042527,77,-28.95,153.24,70.77,21.92
25,mys shmidta,ru,,,,,,,
26,bluff,nz,0,1555043340,39,-23.58,149.07,82.78,13.44
27,cabo san lucas,mx,40,1555043109,56,22.89,-109.91,68.22,9.98
28,yar-sale,ru,88,1555042782,94,66.83,70.83,15.73,11.65
29,kropotkin,ru,0,1555042517,91,45.43,40.58,51.01,9.42
30,kaoma,zm,48,1555043342,92,-14.8,24.8,64.06,7.4
31,bambanglipuro,id,32,1555042761,77,-7.95,110.28,85.21,4.16
32,puerto ayora,ec,0,1555042506,96,-0.74,-90.35,80.01,1.99
33,jamestown,sh,0,1555043185,33,-33.21,138.6,70.63,7.29
34,takoradi,gh,44,1555043225,98,4.89,-1.75,81.61,4.83
35,iqaluit,ca,75,1555042341,78,63.75,-68.52,13.1,8.05
36,miri,my,12,1555043345,65,10.31,9.75,74.86,5.28
37,kaitangata,nz,76,1555043340,58,-46.28,169.85,52,8.01
38,braine-le-chateau,be,0,1555043324,80,50.68,4.27,35.47,3.36
39,fortuna,us,0,1555042571,50,38.18,-1.13,53.26,10.29
40,alice springs,au,0,1555039800,10,-23.7,133.88,77,8.05
41,victoria,sc,75,1555039800,79,5.28,115.24,88.3,3.36
42,samalaeulu,ws,,,,,,,
43,naze,jp,76,1555043350,93,5.43,7.07,75.85,5.61
44,belushya guba,ru,,,,,,,
45,zhigansk,ru,32,1555043351,59,66.77,123.37,23.29,11.65
46,gravdal,no,0,1555043284,59,59.79,5.78,31.33,4.7
47,kruisfontein,za,8,1555042730,87,-34,24.73,57.4,1.92
48,chokurdakh,ru,32,1555042771,100,70.62,147.9,14.74,4.72
49,cidreira,br,76,1555043353,81,-30.17,-50.22,70.09,2.82
50,avarua,ck,100,1555041600,83,-21.21,-159.78,77,3.36
51,husavik,is,88,1555043093,45,50.56,-96.99,37.45,5.99
52,kenai,us,40,1555042624,49,60.55,-151.26,45.77,13.87
53,hay river,ca,40,1555038000,92,60.82,-115.79,30.2,2.93
54,senno,by,20,1555038000,63,57.76,27.95,30.2,4.47
55,norman wells,ca,20,1555038000,48,65.28,-126.83,44.6,3.36
56,sinnamary,gf,92,1555043356,100,5.38,-52.96,78.37,9.98
57,bolungarvik,is,,,,,,,
58,punta arenas,cl,40,1555042946,80,-53.16,-70.91,39.09,6.93
59,beitbridge,zw,0,1555043358,93,-22.21,29.99,62.08,2.93
60,albany,au,90,1555043262,51,42.65,-73.75,38.41,3.83
61,hambantota,lk,0,1555038600,89,6.12,81.12,86,4.7
62,kununurra,au,40,1555039800,36,-15.77,128.74,93.2,11.41
63,athabasca,ca,88,1555043360,60,54.72,-113.29,44.08,6.85
64,mbalmayo,cm,92,1555043361,99,3.52,11.5,70.36,2.82
65,caravelas,br,36,1555042787,100,-17.73,-39.27,80.89,7.4
66,port alfred,za,0,1555043173,97,-33.59,26.89,60.01,3
67,atuona,pf,36,1555043365,100,-9.8,-139.03,82.96,11.21
68,madang,pg,48,1555043366,88,-5.21,145.81,82.69,3.6
69,kodiak,us,90,1555043308,29,39.95,-94.76,37.22,31.09
70,rupert,us,1,1555043104,61,42.62,-113.68,38.95,17.22
71,meulaboh,id,44,1555043367,100,4.14,96.13,82.33,5.61
72,carnarvon,au,0,1555042769,82,-30.97,22.13,52.81,7.74
73,mataura,pf,68,1555042804,71,-46.19,168.86,53.01,1.99
74,illoqqortoormiut,gl,,,,,,,
75,ust-kulom,ru,64,1555043369,92,61.69,53.69,31.12,7.52
76,pierre,us,90,1555043013,85,44.37,-100.35,24.51,23.04
77,elizabeth city,us,1,1555043346,72,36.3,-76.22,62.82,5.82
78,aksay,kz,20,1555039800,93,47.27,39.86,48.2,2.24
79,ponta do sol,cv,88,1555043372,69,-20.63,-46,71.89,2.37
80,batticaloa,lk,0,1555043372,91,7.71,81.69,85.57,3.71
81,kavieng,pg,20,1555042787,100,-2.57,150.8,82.96,5.84
82,mehamn,no,90,1555041000,89,71.03,27.85,32,2.24
83,saint anthony,ca,90,1555042850,52,43.97,-111.68,35.47,4.7
84,hobart,au,0,1555043175,30,-42.88,147.33,69.21,11.41
85,torbay,ca,90,1555043294,87,47.66,-52.73,32.32,21.92
86,katherine,au,0,1555039800,33,-14.47,132.26,91.4,17.22
87,qaanaaq,gl,76,1555043375,90,77.48,-69.36,8.8,6.4
88,saint-philippe,re,75,1555043307,74,45.36,-73.48,33.22,4.61
89,karasburg,na,0,1555043376,57,-28.01,18.75,67.75,12.88
90,bengkulu,id,,,,,,,
91,broken hill,au,0,1555038000,17,-31.97,141.45,73.4,6.93
92,narsaq,gl,75,1555041000,34,60.91,-46.05,48.2,19.46
93,anjiang,cn,88,1555043378,99,27.32,110.14,58.3,2.26
94,dhidhdhoo,mv,12,1555043378,100,6.88,73.1,85.12,2.93
95,tiksi,ru,64,1555043379,90,71.64,128.87,23.02,4.94
96,san policarpo,ph,56,1555043380,100,12.18,125.51,79.81,5.5
97,luderitz,na,32,1555042788,89,-26.65,15.16,54.61,9.98
98,ostrovnoy,ru,88,1555043381,96,68.05,39.51,31.3,16.8
99,kieta,pg,8,1555043381,100,-6.22,155.63,81.88,4.27
100,santiago,cl,75,1555043317,100,-33.44,-70.65,58.84,8.05
101,moron,mn,56,1555042791,92,10.49,-68.2,68.47,2.59
102,mount isa,au,0,1555039800,22,-20.73,139.49,89.6,8.05
103,taolanaro,mg,,,,,,,
104,georgetown,sh,40,1555038000,83,6.8,-58.16,77,4.7
105,mar del plata,ar,0,1555043384,100,-46.43,-67.52,43.18,4.16
106,vaini,to,20,1555038000,69,15.34,74.49,78.8,3.15
107,porto novo,cv,75,1555041600,94,-23.68,-45.44,69.8,2.71
108,vanavara,ru,44,1555043386,50,60.35,102.28,15.91,7.63
109,alyangula,au,0,1555038000,43,-13.85,136.42,89.6,11.41
110,zhuzhou,cn,40,1555038000,59,27.84,113.15,62.6,8.95
111,cape town,za,75,1555042927,93,-33.93,18.42,62.42,8.05
112,butaritari,ki,92,1555043388,100,3.07,172.79,75.76,8.41
113,batsfjord,no,75,1555041000,86,70.63,29.72,30.2,5.82
114,san cristobal,ec,75,1555042594,93,-0.39,-78.55,50.7,2.24
115,te anau,nz,76,1555043390,85,-45.41,167.72,45.88,3.6
116,bucerias,mx,5,1555043105,83,20.76,-105.33,75.63,5.82
117,ilulissat,gl,68,1555041000,79,69.22,-51.1,26.6,3.36
118,lebu,cl,75,1555038000,82,8.96,38.73,59,6.93
119,vila franca do campo,pt,75,1555041600,100,37.72,-25.43,60.8,19.46
120,bodden town,ky,40,1555041604,83,19.28,-81.25,80.2,6.93
121,geresk,af,,,,,,,
